,Location URL,Stone Refernced,Minerals Recorded,Location Name,Rock Types,Climate,Decimal Coordinates,Minerals,Latitude,Longitude,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,F,Fe,Ga,Gd,Ge,H,Hf,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,Os,P,Pb,Pd,Pr,Pt,Rb,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr,Group_Label
0,https://www.mindat.org/loc-14762.html,Lapis Lazuli Unakite,Copper Gemstones,",i,Israel,Country,",Alkalibasalt Analcimite Basalt Basanite Breccia Chalk Dolerite Dolostone Essexite Gabbro Hornfels Ignimbritictuff Kimberlite Limestone Marble Melanocraticnephelinolite Nephelinite Peralkalinesyenite Peridotite Phosphorite Pyroxenite Quartzsyenite Rhyolite Shale Syenite Tephrite Theralite Tholeiiticbasalt Travertine Tuff Tuffite,15,"31.2612199,35.214581",Ag Al B Ba C Ca Ce Cl Cr Cu F Fe Gd H K La Mg Mn Mo N Na Nb Nd Ni O P Pb S Si Sm Sn Sr Ti U V Y Zn Zr,31.2612199,35.214581,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,7
1,https://www.mindat.org//loc-145486.html,Lapis Lazuli Unakite,,", Israel,i,Central District (HaMerkaz District),District, Israel,Country,",,15,"32.620121002197266,35.0147705078125",,32.620121002197266,35.0147705078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,https://www.mindat.org//loc-145489.html,Lapis Lazuli Unakite,Gemstones,", Israel,i,Haifa District,District, Israel,Country,",Alkalibasalt Kimberlite Peridotite Pyroxenite Tholeiiticbasalt Tuff,15,"31.7959242,35.2119808",Al B C Ca Cl Cr F Fe H K Mg N Na O P Si Sn Ti V Zr,31.7959242,35.2119808,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,7
3,https://www.mindat.org//loc-145488.html,Lapis Lazuli Unakite,,", Israel,i,Jerusalem District,District, Israel,Country,",,15,"32.6075587,35.2890861",Al C Ca H O Si,32.6075587,35.2890861,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
4,https://www.mindat.org//loc-205351.html,Lapis Lazuli Unakite,,", Israel,i,Northern District (HaZafon District),District, Israel,Country,",Basalt Dolerite Melanocraticnephelinolite Nephelinite Theralite Tuffite,7,"31.2612199,35.214581",Al C Ca Cl Fe H K Mg Mn Na Ni O Si Ti Zn,31.2612199,35.214581,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7
5,https://www.mindat.org//loc-225964.html,Lapis Lazuli Unakite,,", Southern District (HaDarom District), Israel,i,Arad,Occurrence, Southern District (HaDarom District),District, Israel,Country,",Marble,7,"31.2457442,34.7925181",Al Ba C Ca Cl Cr F Fe H Mg O P S Si Ti Zn,31.2457442,34.7925181,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7
6,https://www.mindat.org//loc-191489.html,Lapis Lazuli Unakite,,", Southern District (HaDarom District), Israel,i,Beersheba (Beer Sheva),City, Southern District (HaDarom District),District, Israel,Country,",,7,"31.0686612,35.0366482",Valid Species Al C Ca Cu Fe H Mg O S Si,31.0686612,35.0366482,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7,https://www.mindat.org//loc-14768.html,Lapis Lazuli Unakite,,", Southern District (HaDarom District), Israel,i,Dimona,City, Southern District (HaDarom District),District, Israel,Country,",,9,"29.5569348,34.9497949",Valid Species O Si,29.5569348,34.9497949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
8,https://www.mindat.org/loc-105764.html,Lapis Lazuli Unakite,Copper,", Southern District (HaDarom District), Israel,i,Eilat,City, Southern District (HaDarom District),District, Israel,Country,",,15,"31.9469665,35.2738655",Ag Al Ba C Ca Cl Cu F Fe H K Mg Mn Na O P Pb S Si V Zn,46.96177,14.95181,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7
9,https://www.mindat.org//loc-4047.html,Amazonite Apatite Aquamarine Beryl Aquamarine Lapis Lazuli Opal Smoky Quartz Smoky Quartz Sphene Titanite Unakite Zircon Zoisite,,", Preitenegg, Wolfsberg District, Carinthia, Austria,i,Packsattel, Preitenegg,Municipality, Wolfsberg District,District, Carinthia,State, Austria,Country,",,1,"46.96177,14.95181",Valid Species Al C Ca Ce F Fe H K La Mg Na Nd O S Si Sr Ti,35.91667,-81.93333,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
