,0
1,Dfb : Warm-summer humid continental climate
2,Cfb : Temperate oceanic climate
3,Cwa : Monsoon-influenced humid subtropical climate
4,Dfc : Subarctic climate
5,Cfa : Humid subtropical climate
6,"Aw : Tropical savanna, wet"
7,BSh : Hot semi-arid (steppe) climate
8,BWk : Cold desert climate
9,BWh : Hot deserts climate
10,ET : Tundra
11,Dfa : Hot-summer humid continental climate
12,Csb : Warm-summer Mediterranean climate
13,BSk : Cold semi-arid (steppe) climate
14,Dwc : Monsoon-influenced subarctic climate
15,Csa : Hot-summer Mediterranean climate
16,"Dsa : Hot, dry-summer continental climate"
17,EF : Ice cap climate
18,Am : Tropical monsoon climate
19,Af : Tropical rainforest climate
20,Dsc : Dry-summer subarctic climate
21,Dwa : Monsoon-influenced hot-summer humid continental climate
22,Cwb : Subtropical highland climate or temperate oceanic climate with dry winters
23,Cfc : Subpolar oceanic climate
24,Dwb : Monsoon-influenced warm-summer humid continental climate
25,"Dsb : Warm, dry-summer continental climate"
26,As : Tropical dry savanna climate
